method	network	commit	batch_size	opt_gap_mean	eq_violation_l1_mean	ineq_violation_l1_mean	merit_mean	avg_inference_time	status	description	save_dir	eval_summary	run_log
penalty	LocalContextMLPv2	5bfaa86	256	14.18687188	0.06982844	0.00435639	74204.6613041	0.00055206	discard	set num_layers=3	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-013124_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-013124_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08/test_summary.yaml	logs/autoresearch/iter029-20260415-013120.log
penalty	LocalContextMLPv2	c709011	256	30.26878511	0.05211315	0.00790137	60037.1353999	0.00057784	discard	set batch_size=512	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-013707_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-013707_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08/test_summary.yaml	logs/autoresearch/iter030-20260415-013703.log
penalty	LocalContextMLPv2	f9f4b11	256	56.54918708	0.0542006	0.01498863	69216.39881724	0.00057498	discard	set LocalContextMLPv2.local_delta_scale=0.03	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-014302_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.03	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-014302_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.03/test_summary.yaml	logs/autoresearch/iter031-20260415-014258.log
penalty	LocalContextMLPv2	de2a72e	256	61.53559062	0.06537837	0.00630609	71712.496484	0.00056669	discard	set penalty.ineq_pen_weight=100	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-014941_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-014941_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08/test_summary.yaml	logs/autoresearch/iter032-20260415-014937.log
penalty	LocalContextMLPv2	ef3fcdb	256	22.50351466	0.09310232	0.01785159	110975.18023119	0.00058526	discard	set penalty.ineq_pen_weight=25	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-015620_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-015620_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08/test_summary.yaml	logs/autoresearch/iter033-20260415-015616.log
penalty	LocalContextMLPv2	ea221ba	256	29.74562069	0.07046658	0.01284015	83329.24897664	0.00058746	discard	set penalty.eq_pen_weight=75	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-020259_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-020259_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08/test_summary.yaml	logs/autoresearch/iter034-20260415-020255.log
penalty	LocalContextMLPv2	b78662a	256	30.19213269	0.05140121	0.00867922	60103.02815762	0.0005846	discard	set penalty.num_epochs=1000	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-020938_penalty_seed2025_e1000_lr2e-04_n7000_localctxv2d0.08	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-020938_penalty_seed2025_e1000_lr2e-04_n7000_localctxv2d0.08/test_summary.yaml	logs/autoresearch/iter035-20260415-020934.log
penalty	LocalContextMLPv2	8ec4d1a	256	30.08159521	0.04164407	0.00847968	50146.33349698	0.00058636	keep	set penalty.eq_pen_weight=150	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-021510_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-021510_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08/test_summary.yaml	logs/autoresearch/iter036-20260415-021506.log
penalty	LocalContextMLPv2	0138f08	256	8.95502997	0.04104827	0.01667264	57739.81670434	0.00057021	discard	set LocalContextMLPv2.coarse_loss_weight=0.1	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-022148_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-022148_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08/test_summary.yaml	logs/autoresearch/iter037-20260415-022144.log
penalty	LocalContextMLPv2	2dd6c2e	256	31.36142245	0.04848524	0.00572522	54233.26101482	0.00057071	discard	set LocalContextMLPv2.coarse_loss_weight=1	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-022826_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-022826_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08/test_summary.yaml	logs/autoresearch/iter038-20260415-022821.log
penalty	LocalContextMLPv2	d3b8d90	256	35.99762676	0.07144727	0.00233255	73803.41636878	0.00058714	discard	set batch_size=1024	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-023503_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-023503_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08/test_summary.yaml	logs/autoresearch/iter039-20260415-023459.log
penalty	LocalContextMLPv2	dc45cef	256	29.58813451	0.03740152	0.01186264	49286.64701995	0.00057161	keep	set batch_size=256	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-024043_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-024043_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08/test_summary.yaml	logs/autoresearch/iter040-20260415-024038.log
penalty	LocalContextMLPv2	4931e0d	256	9.42616093	0.04572739	0.02306904	68815.43466698	0.00057217	discard	set dropout=0	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-024737_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-024737_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08/test_summary.yaml	logs/autoresearch/iter041-20260415-024733.log
penalty	LocalContextMLPv2	7beb5f5	256	30.14039128	0.04092965	0.00977167	50723.90176192	0.00056067	discard	set dropout=0.15	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-025431_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-025431_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08/test_summary.yaml	logs/autoresearch/iter042-20260415-025427.log
penalty	LocalContextMLPv2	f915e59	256	29.54683808	0.03670626	0.01358873	50317.47114768	0.00055563	discard	set LocalContextMLPv2.local_delta_scale=0.05	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-030126_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.05	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-030126_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.05/test_summary.yaml	logs/autoresearch/iter043-20260415-030122.log
penalty	LocalContextMLPv2	facf891	256	30.8322686	0.05011894	0.00674963	56891.27481906	0.00057068	discard	set dropout=0.2	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-030819_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-030819_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08/test_summary.yaml	logs/autoresearch/iter044-20260415-030815.log
penalty	LocalContextMLPv2	7e4079f	256	18.19610289	0.20093501	0.00664839	207603.92749307	0.00057077	discard	set LocalContextMLPv2.coarse_loss_weight=0	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-031513_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-031513_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08/test_summary.yaml	logs/autoresearch/iter045-20260415-031509.log
